"编号","开始答题时间","结束答题时间","答题时长","1.你现在对阿尔丹的了解程度是？","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:B站总结：自动总结 B站视频/链接内容","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:识图理解：看图片并解释、吐槽或回答相关问题","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:联网搜索：临时查资料、查新闻、查不确定的信息","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:长期记忆库：记住群里的梗、偏好、常聊内容","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:赛马娘知识库：查询角色、技能、支援卡、养成资料等","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:点歌功能：在群里搜歌、点歌、分享音乐","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:表情包能力：找表情、发图、接梗、斗图","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:画图功能：通过外部画图 API 生成图片","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:Bot 访问控制：限制某些人（违规）访问阿尔丹","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:被动回应：被 @、被问、有人 cue 它时能接住话","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:目前还没感觉到特别有用的功能","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:其他：","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:B站总结：自动总结 B站视频/链接内容","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:识图理解：看图片并解释、吐槽或回答相关问题","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:联网搜索：临时查资料、查新闻、查不确定的信息","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:长期记忆库：记住群里的梗、偏好、常聊内容","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:赛马娘知识库：查询角色、技能、支援卡、养成资料等","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:点歌功能：在群里搜歌、点歌、分享音乐","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:表情包能力：找表情、发图、接梗、斗图","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:画图功能：通过外部画图 API 生成图片","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:Bot 访问控制：限制某些人（违规）访问阿尔丹","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:被动回应：被 @、被问、有人 cue 它时能接住话","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:都还可以，主要是需要优化","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:我没怎么用过，不好判断","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:其他：","4. 现在最影响体验的问题是什么？:不清楚它具体能做什么/怎么触发","4. 现在最影响体验的问题是什么？:回复不够准确，信息不够可靠","4. 现在最影响体验的问题是什么？:B站总结抓不住重点","4. 现在最影响体验的问题是什么？:识图、画图、表情包这类图片功能效果一般","4. 现在最影响体验的问题是什么？:联网搜索结果不够有用","4. 现在最影响体验的问题是什么？:赛马娘知识库内容不全或不够新","4. 现在最影响体验的问题是什么？:点歌功能体验一般","4. 现在最影响体验的问题是什么？:Bot 访问控制功能用途不清楚","4. 现在最影响体验的问题是什么？:被动回应接不住话，容易答非所问","4. 现在最影响体验的问题是什么？:主动回应时机不自然","4. 现在最影响体验的问题是什么？:回复速度慢或不稳定","4. 现在最影响体验的问题是什么？:担心隐私/长期记忆边界","4. 现在最影响体验的问题是什么？:其他：","5. 你更希望它在群里的互动方式是？","6. 如果未来拓展新方向，你最希望它往哪边发展？:二游资讯助手：游戏更新、活动、卡池、公告提醒","6. 如果未来拓展新方向，你最希望它往哪边发展？:游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","6. 如果未来拓展新方向，你最希望它往哪边发展？:群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","6. 如果未来拓展新方向，你最希望它往哪边发展？:群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","6. 如果未来拓展新方向，你最希望它往哪边发展？:图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","6. 如果未来拓展新方向，你最希望它往哪边发展？:表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","6. 如果未来拓展新方向，你最希望它往哪边发展？:群内活动助手：投票、报名、打卡、签到、活动提醒、结果统计","6. 如果未来拓展新方向，你最希望它往哪边发展？:私聊功能：私聊查询资料、聊天、保存个人偏好","6. 如果未来拓展新方向，你最希望它往哪边发展？:语音功能：语音识别、语音回复、角色语音","6. 如果未来拓展新方向，你最希望它往哪边发展？:音乐功能：点歌、歌单、音乐推荐","6. 如果未来拓展新方向，你最希望它往哪边发展？:生活化助手：天气、日程提醒、每日新闻、简单备忘","6. 如果未来拓展新方向，你最希望它往哪边发展？:其他：","7. 后续如果支持更多人设方向，你更希望有哪些？:赛马娘","7. 后续如果支持更多人设方向，你更希望有哪些？:原神","7. 后续如果支持更多人设方向，你更希望有哪些？:崩坏：星穹铁道","7. 后续如果支持更多人设方向，你更希望有哪些？:绝区零","7. 后续如果支持更多人设方向，你更希望有哪些？:鸣潮","7. 后续如果支持更多人设方向，你更希望有哪些？:明日方舟","7. 后续如果支持更多人设方向，你更希望有哪些？:明日方舟：终末地","7. 后续如果支持更多人设方向，你更希望有哪些？:碧蓝档案","7. 后续如果支持更多人设方向，你更希望有哪些？:王者荣耀","7. 后续如果支持更多人设方向，你更希望有哪些？:其他：","7. 后续如果支持更多人设方向，你更希望有哪些？:不太需要更多人设","8. 你觉得它还可以做哪些真正有意思的功能？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"14","18-May-2026 10:46:20","18-May-2026 10:49:33","193","A.经常看到/用过几次","","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","","","","","","","","","","L.都还可以，主要是需要优化","","","","B.回复不够准确，信息不够可靠","","","","","","","I.被动回应接不住话，容易答非所问","","","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","","","","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","F.表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","","","I.语音功能：语音识别、语音回复、角色语音","","","","A.赛马娘","","","","","","","","","","K.不太需要更多人设","无","简体中文","未清洗","","中国","湖南省","衡阳市","","120.226.104.156","Mozilla/5.0 (Linux; Android 16; PKM110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/WIFI WebP/0.3.0 A","",
"13","18-May-2026 10:46:04","18-May-2026 10:47:53","109","A.经常看到/用过几次","","","","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","G.表情包能力：找表情、发图、接梗、斗图","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","C.联网搜索：临时查资料、查新闻、查不确定的信息","","","","","","","","","","","","","","","","","","","","I.被动回应接不住话，容易答非所问","","","","","E.不同群/不同时间能设置不同活跃程度","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","","","","","","","","","","","","","C.崩坏：星穹铁道","","E.鸣潮","","","","","","","阿尔丹总是不给我炒俩菜","简体中文","未清洗","","中国","浙江省","湖州市","","39.172.32.117","Mozilla/5.0 (Linux; Android 16; V2502A Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/WIFI We","",
"12","18-May-2026 10:34:58","18-May-2026 10:39:20","262","A.经常看到/用过几次","","","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","","","","","G.表情包能力：找表情、发图、接梗、斗图","","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","A.不清楚它具体能做什么/怎么触发","","","","","F.赛马娘知识库内容不全或不够新","","","I.被动回应接不住话，容易答非所问","","","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","","","","","","","","A.赛马娘","","","","","","","","","","","赛博跑赛马娘比赛(群内room match)。比如给她定制一个赛道，让她和我游戏里养出来的马比赛，还能和多个群友一起跑之类的。","简体中文","未清洗","","中国","陕西省","延安市","","123.139.164.12","Mozilla/5.0 (Linux; Android 15; LGE-AN10 Build/HONORLGE-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.90_13988_HDBM_T QQ/9.2.90.35870 NetType/WIFI WebP/0.3.0 ","",
"11","18-May-2026 10:33:12","18-May-2026 10:36:42","210","A.经常看到/用过几次","","B.识图理解：看图片并解释、吐槽或回答相关问题","","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","A.B站总结：自动总结 B站视频/链接内容","","C.联网搜索：临时查资料、查新闻、查不确定的信息","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","F.点歌功能：在群里搜歌、点歌、分享音乐","G.表情包能力：找表情、发图、接梗、斗图","","","","","","","","","","","D.识图、画图、表情包这类图片功能效果一般","","","","","I.被动回应接不住话，容易答非所问","J.主动回应时机不自然","","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","","","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","","","","","","","","","","","","","","","","","","K.不太需要更多人设","凌晨整理下群里一天有意思的事","简体中文","未清洗","","中国","四川省","成都市","","2408:8469:400:1cd1:e980:b007:4fbf:c098","Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.2.66.625 V1_IPH_SQ_9.2.66_1_APP_A Pixel/1170 MiniAppEnable SimpleUISwitch/0 StudyMode/0 CurrentMode/0 CurrentFontScale/1.000000 QQTheme/11","",
"10","18-May-2026 10:33:17","18-May-2026 10:35:57","160","C.知道有，但不太清楚能干什么","A.B站总结：自动总结 B站视频/链接内容","B.识图理解：看图片并解释、吐槽或回答相关问题","","","","","","","","","","","","","","","","","F.点歌功能：在群里搜歌、点歌、分享音乐","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","","","","E.联网搜索结果不够有用","","","","I.被动回应接不住话，容易答非所问","J.主动回应时机不自然","","","","B.平时少说话，但看到很合适的话题可以偶尔接一句","","","","","","","","","","","","L.其他：","","","","","","","","","","","K.不太需要更多人设","自动找铯图","简体中文","未清洗","","中国","广东省","东莞市","","203.132.48.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 SLBrowser/9.0.8.3131 SLBChan/123 SLBVPV/64-bit","",
"9","18-May-2026 10:32:17","18-May-2026 10:34:42","145","A.经常看到/用过几次","","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","","","","","","H.画图功能：通过外部画图 API 生成图片","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","","","","","","","B.回复不够准确，信息不够可靠","","","","F.赛马娘知识库内容不全或不够新","","","I.被动回应接不住话，容易答非所问","","","","","B.平时少说话，但看到很合适的话题可以偶尔接一句","","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","","","","F.表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","","","","","K.生活化助手：天气、日程提醒、每日新闻、简单备忘","","A.赛马娘","","","","","","","","","","","更智能点","简体中文","未清洗","","中国","浙江省","宁波市","","115.215.230.214","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MIT/4.1.0.81 QQ/9.0.95.0 V1_IPH_SQ_9.0.95_0_RDM_R Pixel/1170 MiniAppEnable SimpleUISwitch/1 StudyMode/0 CurrentMode/1 CurrentFontScale/1.000000 Q","",
"8","18-May-2026 10:32:12","18-May-2026 10:34:05","113","A.经常看到/用过几次","","","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","A.B站总结：自动总结 B站视频/链接内容","","","","","","","","","","","L.都还可以，主要是需要优化","","","A.不清楚它具体能做什么/怎么触发","B.回复不够准确，信息不够可靠","","","","F.赛马娘知识库内容不全或不够新","","","","","","","","E.不同群/不同时间能设置不同活跃程度","","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","","","","","","","","","","A.赛马娘","","","","","","","","","","K.不太需要更多人设","无","简体中文","未清洗","","中国","云南省","昆明市","","2409:896d:66:714:49af:616c:13f0:5bc7","Mozilla/5.0 (Phone; OpenHarmony 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36  ArkWeb/6.1.0.117 Mobile V1_HAR_SQ_9.2.20_2860_APP_D QQ/9.2.20.5645 NetType/3G AppId/537349553 Pixel/1260 StatusBarHeight/31 SimpleUISwitch/0 QQThem","",
"7","18-May-2026 10:32:31","18-May-2026 10:33:46","75","D.基本没注意到","","","","","","","","","","","","L.目前还没感觉到特别有用的功能","","","","","","","","","","","","","","M.我没怎么用过，不好判断","","A.不清楚它具体能做什么/怎么触发","","","","","","","","","","","","","E.不同群/不同时间能设置不同活跃程度","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","","","","","","","","","","","","A.赛马娘","","","","","","","","","","","不知道","简体中文","未清洗","","中国","安徽省","合肥市","","112.30.60.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","",
"6","18-May-2026 10:32:29","18-May-2026 10:33:31","62","A.经常看到/用过几次","","","","D.长期记忆库：记住群里的梗、偏好、常聊内容","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","H.画图功能：通过外部画图 API 生成图片","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","","","","","","","","","","F.点歌功能：在群里搜歌、点歌、分享音乐","","","","","","L.都还可以，主要是需要优化","","","A.不清楚它具体能做什么/怎么触发","B.回复不够准确，信息不够可靠","","","","","","","","","","L.担心隐私/长期记忆边界","","B.平时少说话，但看到很合适的话题可以偶尔接一句","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","","","","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","","","","","","K.生活化助手：天气、日程提醒、每日新闻、简单备忘","","A.赛马娘","","","","","","","","","","","请填写你的建议（非必答）","简体中文","未清洗","","中国","北京市","北京市","","124.17.27.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) QQEX/9.9.29-47354 Chrome/138.0.7204.35  Safari/537.36 OS/win32,x64 QQAppId/537346872 QQEXBrowser/1.0.0.0 QQWebContentView/1.0.0.0","",
"5","18-May-2026 10:30:54","18-May-2026 10:32:00","66","D.基本没注意到","","","","","","F.点歌功能：在群里搜歌、点歌、分享音乐","G.表情包能力：找表情、发图、接梗、斗图","","","","","","","","","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","H.画图功能：通过外部画图 API 生成图片","","","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","A.不清楚它具体能做什么/怎么触发","B.回复不够准确，信息不够可靠","","","","","","","","J.主动回应时机不自然","","","","B.平时少说话，但看到很合适的话题可以偶尔接一句","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","","","","","","","","J.音乐功能：点歌、歌单、音乐推荐","","","","","","","","F.明日方舟","","","","","","无","简体中文","未清洗","","中国","浙江省","杭州市","","2409:8929:b792:281:380f:d3fb:9a6e:4a1b","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.2.85.609 V1_IPH_SQ_9.2.85_1_APP_A Pixel/1170 MiniAppEnable SimpleUISwitch/1 StudyMode/0 CurrentMode/1 CurrentFontScale/1.000000 QQTheme/30","",
"4","18-May-2026 10:29:26","18-May-2026 10:31:36","130","A.经常看到/用过几次","A.B站总结：自动总结 B站视频/链接内容","","","","","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","A.B站总结：自动总结 B站视频/链接内容","","","","","","","H.画图功能：通过外部画图 API 生成图片","","","","","","","","","","","","","","","I.被动回应接不住话，容易答非所问","","","","","A.只在被 @ 或明确叫它时回复","","","","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","","","","","J.音乐功能：点歌、歌单、音乐推荐","","","","","","","","","","","","","K.不太需要更多人设","不知道","简体中文","未清洗","","中国","广东省","佛山市","","2409:895a:51ba:b508:3457:9cff:fe0b:633","Mozilla/5.0 (Linux; Android 16; V2352GA Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/4G WebP/0.3.0","",
"3","18-May-2026 10:29:01","18-May-2026 10:31:15","134","A.经常看到/用过几次","","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","G.表情包能力：找表情、发图、接梗、斗图","","","","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","","","","","","","","","D.识图、画图、表情包这类图片功能效果一般","","","","H.Bot 访问控制功能用途不清楚","","","","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","","","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","","","","","","","","","","","","","","","","","","K.不太需要更多人设","有无小礼品送","简体中文","未清洗","","中国","重庆市","重庆市","","240e:430:3081:389b::1","Mozilla/5.0 (Linux; Android 16; V2426A Build/BQ2A.250705.001-BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.55_12840_YYB_D QQ/9.2.55.33000","",
"2","18-May-2026 10:29:19","18-May-2026 10:30:57","98","B.见过它回复，但没主动用过","","","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","","","","","A.B站总结：自动总结 B站视频/链接内容","","","","","","","","","","","","","","","","","","","","","","","J.主动回应时机不自然","","","","A.只在被 @ 或明确叫它时回复","","","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","","","","","","","","","","","","","","","","","","K.不太需要更多人设","	1","简体中文","未清洗","","中国","浙江省","温州市","","115.223.162.154","Mozilla/5.0 (Linux; Android 16; 24117RK2CC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.207 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/WIFI WebP/0.4.1 AppId/537351307 Pix","",
"1","18-May-2026 10:29:26","18-May-2026 10:30:31","65","A.经常看到/用过几次","A.B站总结：自动总结 B站视频/链接内容","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","A.B站总结：自动总结 B站视频/链接内容","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","","","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","A.不清楚它具体能做什么/怎么触发","B.回复不够准确，信息不够可靠","C.B站总结抓不住重点","D.识图、画图、表情包这类图片功能效果一般","","","","","","","","","","E.不同群/不同时间能设置不同活跃程度","","","","","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","F.表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","","","","","","","","","","","","F.明日方舟","G.明日方舟：终末地","","","","","可调戏","简体中文","未清洗","","中国","广东省","广州市","","2409:895a:5c8:839:2851:5cff:fe12:509d","Mozilla/5.0 (Linux; Android 15; 23013RK75C Build/AQ3A.250226.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/4G WebP/0.3.0","",
